State,Total Spend ($1000s),Entitlement Spend ($1000s),Population,Total Spend Per Capita ($),Entitlement Spend Per Capita ($)
United States Total,428845528.0,91261968.0,334914895,1280.4611989562304,272.4930105004736
Alabama,5728006.0,1535705.0,334914895,17.102870267982556,4.5853589163300725
Alaska,2110791.0,103457.0,334914895,6.302469766237181,0.3089053414599551
Arizona,7585870.0,3976957.0,334914895,22.65014221000831,11.874530095175373
Arkansas,3226129.0,741404.0,334914895,9.63268295367992,2.2137086497750422
California,55745533.0,13319549.0,334914895,166.44686107496054,39.76995110951993
Colorado,11904531.0,1654961.0,334914895,35.544943440034224,4.941437435919355
Connecticut,4048373.0,840378.0,334914895,12.087766356285826,2.5092285011689315
Delaware,1265939.0,672651.0,334914895,3.7798826475006435,2.008423662375482
District of Columbia,2959256.0,0.0,334914895,8.835844700188686,0.0
Florida,24669267.0,6956500.0,334914895,73.65831549534397,20.770948392725263
Georgia,10629087.0,3947325.0,334914895,31.73668044832703,11.78605388691357
Hawaii,2410852.0,186891.0,334914895,7.198401850714941,0.5580253455135221
Idaho,1814519.0,356070.0,334914895,5.417851003610933,1.063165614058461
Illinois,14891179.0,2164571.0,334914895,44.46257608220142,6.463047873699376
Indiana,7532371.0,1694847.0,334914895,22.490403121664684,5.060530377426182
Iowa,4855988.0,593729.0,334914895,14.49917000556216,1.772775737549684
Kansas,3365605.0,481781.0,334914895,10.04913501980854,1.438517686709634
Kentucky,5231706.0,1367790.0,334914895,15.62100126959119,4.083992740902133
Louisiana,5468047.0,1340199.0,334914895,16.326676064974656,4.001610618124345
Maine,1127760.0,372412.0,334914895,3.367303206983374,1.1119600995948538
Maryland,7906558.0,1437014.0,334914895,23.607663075122414,4.290684055721081
Massachusetts,10275823.0,2414650.0,334914895,30.681893082121654,7.209742045064911
Michigan,9111234.0,2446207.0,334914895,27.204624625608247,7.303965982163916
Minnesota,8291912.0,1779571.0,334914895,24.75826582750224,5.313502106258965
Mississippi,2630922.0,797605.0,334914895,7.855494154716529,2.3815154593228827
Missouri,5913029.0,1227829.0,334914895,17.655318077149122,3.6660925456898537
Montana,1266483.0,173648.0,334914895,3.781506940740871,0.5184839569467342
Nebraska,4448838.0,418028.0,334914895,13.283488033579397,1.2481618651209885
Nevada,3666847.0,958566.0,334914895,10.948593373250837,2.8621181509410025
New Hampshire,885504.0,367860.0,334914895,2.6439672084455963,1.0983685870405973
New Jersey,7777882.0,5962151.0,334914895,23.223458007145368,17.80198817374187
New Mexico,2683859.0,828024.0,334914895,8.013555204823005,2.472341518283324
New York,29837296.0,2523084.0,334914895,89.08918786666685,7.533507878173051
North Carolina,12571022.0,2890476.0,334914895,37.534974370130655,8.630479095293746
North Dakota,1932198.0,182046.0,334914895,5.769220864303453,0.543558983842746
Ohio,11761607.0,2673681.0,334914895,35.11819622116239,7.983165394898307
Oklahoma,5360179.0,930774.0,334914895,16.004600213436312,2.7791358756976154
Oregon,6701298.0,1674693.0,334914895,20.008957798069865,5.000353895875548
Pennsylvania,16913274.0,2561088.0,334914895,50.50021439028563,7.646981481668649
Rhode Island,1113500.0,341716.0,334914895,3.324725226090646,1.020306964848488
South Carolina,5559772.0,2306402.0,334914895,16.60055161177588,6.886531576924938
South Dakota,1453767.0,177783.0,334914895,4.340705718687131,0.5308303770723605
Tennessee,6861210.0,1516730.0,334914895,20.486428350700855,4.528702732077652
Texas,44214471.0,4428620.0,334914895,132.0170337601736,13.223120458706383
Utah,6156421.0,663072.0,334914895,18.382045982159138,1.9798223665149322
Vermont,607698.0,356258.0,334914895,1.8144848409922167,1.0637269506929514
Virginia,12354687.0,1944213.0,334914895,36.88903415298982,5.80509564974708
Washington,14071501.0,2765252.0,334914895,42.015154327489675,8.256581123392555
West Virginia,1892644.0,652895.0,334914895,5.65111921940647,1.949435542423397
Wisconsin,6805430.0,1389410.0,334914895,20.319878576914295,4.148546453868526
Wyoming,1247853.0,165445.0,334914895,3.7258808689294036,0.49399116751734795
